12 / 09 / 2023 10: 06: 48.692,#,421,18.25
12 / 09 / 2023 10: 06: 49.586,#,425,18.25
12 / 09 / 2023 10: 06: 50.577,#,418,17.75
12 / 09 / 2023 10: 06: 51.581,#,376,18.25
12 / 09 / 2023 10: 06: 52.577,#,389,18.25
12 / 09 / 2023 10: 06: 53.577,#,405,17.75
12 / 09 / 2023 10: 06: 54.576,#,436,18.50
12 / 09 / 2023 10: 06: 55.575,#,409,18.50
12 / 09 / 2023 10: 06: 56.576,#,387,18.50
12 / 09 / 2023 10: 06: 57.576,#,375,18.50
12 / 09 / 2023 10: 06: 58.577,#,292,18.50
12 / 09 / 2023 10: 06: 59.579,#,195,18.50
12 / 09 / 2023 10: 07: 00.575,#,980,18.25
12 / 09 / 2023 10: 07: 01.576,#,144,18.50
12 / 09 / 2023 10: 07: 02.576,#,142,18.50
12 / 09 / 2023 10: 07: 03.577,#,142,18.50
12 / 09 / 2023 10: 07: 04.575,#,593,17.75
12 / 09 / 2023 10: 07: 05.575,#,142,18.50
12 / 09 / 2023 10: 07: 06.576,#,142,18.50
12 / 09 / 2023 10: 07: 07.577,#,142,18.50
12 / 09 / 2023 10: 07: 08.575,#,142,18.00
12 / 09 / 2023 10: 07: 09.576,#,142,18.50
12 / 09 / 2023 10: 07: 10.577,#,142,18.50
12 / 09 / 2023 10: 07: 11.576,#,142,18.00
12 / 09 / 2023 10: 07: 12.575,#,142,18.50
12 / 09 / 2023 10: 07: 13.575,#,142,18.50
12 / 09 / 2023 10: 07: 14.577,#,142,18.50
12 / 09 / 2023 10: 07: 15.575,#,142,18.50
12 / 09 / 2023 10: 07: 16.575,#,142,18.50
12 / 09 / 2023 10: 07: 17.577,#,142,18.50
12 / 09 / 2023 10: 07: 18.577,#,155,18.50
12 / 09 / 2023 10: 07: 19.575,#,204,18.50
12 / 09 / 2023 10: 07: 20.576,#,221,18.50
12 / 09 / 2023 10: 07: 21.576,#,258,18.25
12 / 09 / 2023 10: 07: 22.576,#,303,18.50
12 / 09 / 2023 10: 07: 23.576,#,318,18.50
12 / 09 / 2023 10: 07: 24.576,#,335,18.25
12 / 09 / 2023 10: 07: 25.575,#,338,18.00
12 / 09 / 2023 10: 07: 26.576,#,350,18.50
12 / 09 / 2023 10: 07: 27.576,#,335,18.50
12 / 09 / 2023 10: 07: 28.581,#,328,18.25
12 / 09 / 2023 10: 07: 29.576,#,346,18.00
12 / 09 / 2023 10: 07: 30.577,#,369,18.50
12 / 09 / 2023 10: 07: 31.576,#,431,18.50
12 / 09 / 2023 10: 07: 32.575,#,391,18.00
12 / 09 / 2023 10: 07: 33.579,#,395,18.50
12 / 09 / 2023 10: 07: 34.576,#,441,18.50
12 / 09 / 2023 10: 07: 35.575,#,430,18.50
12 / 09 / 2023 10: 07: 36.577,#,398,18.50
12 / 09 / 2023 10: 07: 37.575,#,322,18.75
12 / 09 / 2023 10: 07: 38.577,#,207,18.50
12 / 09 / 2023 10: 07: 39.576,#,169,18.50
12 / 09 / 2023 10: 07: 40.575,#,160,18.50
12 / 09 / 2023 10: 07: 41.576,#,142,18.75
12 / 09 / 2023 10: 07: 42.575,#,142,18.50
12 / 09 / 2023 10: 07: 43.576,#,142,18.00
12 / 09 / 2023 10: 07: 44.577,#,142,18.50
12 / 09 / 2023 10: 07: 45.577,#,142,18.50
12 / 09 / 2023 10: 07: 46.575,#,142,18.00
12 / 09 / 2023 10: 07: 47.575,#,142,18.00
12 / 09 / 2023 10: 07: 48.577,#,142,18.50
12 / 09 / 2023 10: 07: 49.575,#,142,18.50
12 / 09 / 2023 10: 07: 50.615,#,142,18.00
12 / 09 / 2023 10: 07: 51.575,#,142,18.50
12 / 09 / 2023 10: 07: 52.575,#,142,18.50
12 / 09 / 2023 10: 07: 53.576,#,142,18.00
12 / 09 / 2023 10: 07: 54.577,#,142,18.50
12 / 09 / 2023 10: 07: 55.577,#,142,18.75
12 / 09 / 2023 10: 07: 56.577,#,142,18.50
12 / 09 / 2023 10: 07: 57.576,#,142,18.50
12 / 09 / 2023 10: 07: 58.576,#,142,18.50
12 / 09 / 2023 10: 07: 59.577,#,142,18.50
12 / 09 / 2023 10: 08: 00.576,#,142,18.50
12 / 09 / 2023 10: 08: 01.576,#,218,18.50
12 / 09 / 2023 10: 08: 02.577,#,258,18.50
12 / 09 / 2023 10: 08: 03.576,#,294,18.50
12 / 09 / 2023 10: 08: 04.577,#,363,18.00
12 / 09 / 2023 10: 08: 05.575,#,405,18.50
12 / 09 / 2023 10: 08: 06.576,#,417,18.50
12 / 09 / 2023 10: 08: 07.577,#,387,18.50
12 / 09 / 2023 10: 08: 08.576,#,398,18.00
12 / 09 / 2023 10: 08: 09.576,#,431,18.50
12 / 09 / 2023 10: 08: 10.576,#,430,18.50
12 / 09 / 2023 10: 08: 11.576,#,426,18.00
12 / 09 / 2023 10: 08: 12.576,#,463,18.50
12 / 09 / 2023 10: 08: 13.576,#,444,18.50
12 / 09 / 2023 10: 08: 14.580,#,426,18.50
12 / 09 / 2023 10: 08: 15.576,#,427,18.50
12 / 09 / 2023 10: 08: 16.577,#,418,18.50
12 / 09 / 2023 10: 08: 17.576,#,401,18.50
12 / 09 / 2023 10: 08: 18.576,#,412,18.75
12 / 09 / 2023 10: 08: 19.576,#,359,18.50
12 / 09 / 2023 10: 08: 20.577,#,308,18.50
12 / 09 / 2023 10: 08: 21.578,#,227,18.50
12 / 09 / 2023 10: 08: 22.576,#,194,18.50
12 / 09 / 2023 10: 08: 23.577,#,159,18.75
12 / 09 / 2023 10: 08: 24.577,#,142,18.50
12 / 09 / 2023 10: 08: 25.576,#,142,18.00
12 / 09 / 2023 10: 08: 26.576,#,142,18.75
12 / 09 / 2023 10: 08: 27.576,#,142,18.75
12 / 09 / 2023 10: 08: 28.577,#,142,18.25
12 / 09 / 2023 10: 08: 29.576,#,142,18.00
12 / 09 / 2023 10: 08: 30.577,#,142,18.50
12 / 09 / 2023 10: 08: 31.576,#,142,18.50
12 / 09 / 2023 10: 08: 32.577,#,142,18.00
12 / 09 / 2023 10: 08: 33.577,#,142,18.75
12 / 09 / 2023 10: 08: 34.576,#,142,18.50
12 / 09 / 2023 10: 08: 35.578,#,142,18.50
12 / 09 / 2023 10: 08: 36.576,#,142,18.75
12 / 09 / 2023 10: 08: 37.577,#,142,18.50
12 / 09 / 2023 10: 08: 38.577,#,142,18.75
12 / 09 / 2023 10: 08: 39.576,#,142,18.50
12 / 09 / 2023 10: 08: 40.578,#,142,18.50
12 / 09 / 2023 10: 08: 41.576,#,146,18.75
12 / 09 / 2023 10: 08: 42.577,#,155,18.50
12 / 09 / 2023 10: 08: 43.577,#,179,18.50
12 / 09 / 2023 10: 08: 44.579,#,142,18.50
12 / 09 / 2023 10: 08: 45.578,#,156,18.50
12 / 09 / 2023 10: 08: 46.579,#,144,18.00
12 / 09 / 2023 10: 08: 47.576,#,142,18.25
12 / 09 / 2023 10: 08: 48.577,#,142,18.25
12 / 09 / 2023 10: 08: 49.580,#,142,18.25
12 / 09 / 2023 10: 08: 50.577,#,142,18.00
12 / 09 / 2023 10: 08: 51.577,#,142,18.25
